,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint
160,2,3,6,6,12,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,41,12.5400391,870,2023-08-04 04:12:42.049,False,False
161,2,3,6,6,12,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,42,10.5759277,124,2023-08-04 04:12:53.797,False,False
162,2,3,6,6,13,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,43,19.2125244,136,2023-08-04 04:13:20.820,False,False
163,2,3,7,6,13,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,44,12.8465576,130,2023-08-04 04:13:34.836,False,False
164,2,3,7,6,14,5,False,False,False,False,False,False,211700f2,MCTS_Knowledge,45,19.1425781,431,2023-08-04 04:13:57.991,False,False
165,2,3,7,6,14,6,False,False,False,False,False,False,211700f2,MCTS_Knowledge,46,16.27649,799,2023-08-04 04:14:16.100,False,False
166,2,3,7,6,14,6,False,False,False,False,False,False,211700f2,MCTS_Knowledge,47,19.8297119,654,2023-08-04 04:14:39.624,False,False
167,2,3,7,6,14,7,False,False,False,False,False,False,211700f2,MCTS_Knowledge,48,20.5994873,1062,2023-08-04 04:15:06.183,False,False
168,2,3,7,6,14,8,False,False,False,False,False,False,211700f2,MCTS_Knowledge,49,26.2215576,498,2023-08-04 04:15:35.525,False,False
169,2,3,8,6,14,8,False,False,False,False,False,False,211700f2,MCTS_Knowledge,50,27.2545166,185,2023-08-04 04:16:06.626,False,False
170,2,3,8,6,15,8,False,False,False,False,False,False,211700f2,MCTS_Knowledge,51,29.41211,1487,2023-08-04 04:16:46.594,False,False
171,2,3,8,6,16,8,False,False,False,False,False,False,211700f2,MCTS_Knowledge,52,22.7325439,845,2023-08-04 04:17:11.259,False,False
172,2,3,8,7,16,8,False,False,False,False,False,False,211700f2,MCTS_Knowledge,53,22.8858643,1230,2023-08-04 04:17:36.412,False,False
173,2,4,8,7,16,8,False,False,False,False,False,False,211700f2,MCTS_Knowledge,54,10.6258545,588,2023-08-04 04:17:55.436,False,False
174,2,4,8,7,17,8,False,False,False,False,False,False,211700f2,MCTS_Knowledge,55,16.3043213,160,2023-08-04 04:18:15.036,False,False
